file,time_seconds,status
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02860.lean,6.797292000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02862.lean,6.938808000,error
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02864.lean,8.983848000,error
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02866.lean,11.674756000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02868.lean,16.978732000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02870.lean,14.463607000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02872.lean,18.744606000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02874.lean,19.016393000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02876.lean,25.844141000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02878.lean,22.781435000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02880.lean,22.186966000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02882.lean,30.208446000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02884.lean,29.407100000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02886.lean,29.321946000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02888.lean,34.619450000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02890.lean,35.708944000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02892.lean,9.721762000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02894.lean,7.522399000,error
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02896.lean,12.209666000,error
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02898.lean,13.378336000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02900.lean,15.135979000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02902.lean,18.931540000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02904.lean,25.357103000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02906.lean,23.704033000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02908.lean,24.733249000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02910.lean,35.706443000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02912.lean,28.307038000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02914.lean,38.429302000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02916.lean,35.274569000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02918.lean,44.114842000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02920.lean,38.078439000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02922.lean,42.159880000,ok
bvmod_eq/BVModEq/circ_benchmarks/bxor/benchmarks/lean//02924.lean,6.345253000,ok
